Year,Enrolments,Citizenship,State,Institution
2019,10269,International,Victoria,Federation University Australia
2019,8441,Domestic,Victoria,La Trobe University
2019,10648,International,Victoria,La Trobe University
2019,28229,Domestic,Victoria,Monash University
2019,41383,International,Victoria,Monash University
2019,45310,Domestic,Victoria,Non-University Higher Education Providers
2019,29029,International,Victoria,Non-University Higher Education Providers
2019,6291,Domestic,Victoria,RMIT University
2019,33810,International,Victoria,RMIT University
2019,38738,Domestic,Victoria,Swinburne University of Technology
2019,10774,International,Victoria,Swinburne University of Technology
2019,31076,Domestic,Victoria,The University of Melbourne
2019,28545,International,Victoria,The University of Melbourne
2019,41961,Domestic,Victoria,University of Divinity
2019,193,International,Victoria,University of Divinity
2019,28423,Domestic,Victoria,University of Tasmania
2019,193277,International,Victoria,University of Tasmania
2019,1319,Domestic,Victoria,Victoria University
2019,12433,International,Victoria,Victoria University
2019,106319,Domestic,Western Australia,Curtin University
2019,13446,International,Western Australia,Curtin University
2019,35758,Domestic,Western Australia,Edith Cowan University
2019,6864,International,Western Australia,Edith Cowan University
2019,23774,Domestic,Western Australia,Murdoch University
2019,10206,International,Western Australia,Murdoch University
2019,15398,Domestic,Western Australia,Non-University Higher Education Providers
2019,3768,International,Western Australia,Non-University Higher Education Providers
2019,1139,Domestic,Western Australia,The University of Notre Dame Australia
2019,277,International,Western Australia,The University of Notre Dame Australia
2019,11476,Domestic,Western Australia,The University of Western Australia
2019,5362,International,Western Australia,The University of Western Australia
2019,15971,Domestic,Western Australia,Victoria University
2019,39923,International,Western Australia,Victoria University
2020,1536,Domestic,Australian Capital Territory,Non-University Higher Education Providers
2020,370,International,Australian Capital Territory,Non-University Higher Education Providers
2020,15468,Domestic,Australian Capital Territory,The Australian National University
2020,8868,International,Australian Capital Territory,The Australian National University
2020,12676,Domestic,Australian Capital Territory,University of Canberra
2020,3647,International,Australian Capital Territory,University of Canberra
2020,19039,Domestic,Grand Total,The University of Western Australia
2020,489348,International,Grand Total,The University of Western Australia
2020,28230,Domestic,Multi-State,Australian Catholic University
2020,4116,International,Multi-State,Australian Catholic University
2020,3049,Domestic,Multi-State,Non-University Higher Education Providers
2020,117,International,Multi-State,Non-University Higher Education Providers
2020,1063,Domestic,New South Wales,Avondale University
2020,134,International,New South Wales,Avondale University
2020,35810,Domestic,New South Wales,Charles Sturt University
2020,7477,International,New South Wales,Charles Sturt University
2020,33836,Domestic,New South Wales,Macquarie University
2020,10964,International,New South Wales,Macquarie University
2020,38012,Domestic,New South Wales,Non-University Higher Education Providers
2020,29017,International,New South Wales,Non-University Higher Education Providers
2020,15784,Domestic,New South Wales,Southern Cross University
2020,4041,International,New South Wales,Southern Cross University
2020,23378,Domestic,New South Wales,The University of New England
2020,1484,International,New South Wales,The University of New England
2020,31542,Domestic,New South Wales,The University of Newcastle
2020,5387,International,New South Wales,The University of Newcastle
2020,40543,Domestic,New South Wales,The University of Sydney
2020,32053,International,New South Wales,The University of Sydney
2020,40131,Domestic,New South Wales,University of New South Wales
2020,23155,International,New South Wales,University of New South Wales
2020,32247,Domestic,New South Wales,University of Technology Sydney
2020,14001,International,New South Wales,University of Technology Sydney
2020,19486,Domestic,New South Wales,University of Wollongong
2020,13878,International,New South Wales,University of Wollongong
2020,41198,Domestic,New South Wales,Western Sydney University
2020,7855,International,New South Wales,Western Sydney University
2020,26,Domestic,Northern Territory,Charles Darwin University
2020,2105,International,Northern Territory,Charles Darwin University
2020,202924,Domestic,Queensland,Bond University
2020,2449,International,Queensland,Bond University
2020,3145,Domestic,Queensland,CQUniversity
2020,5818,International,Queensland,CQUniversity
2020,11696,Domestic,Queensland,Charles Darwin University
2020,57955,International,Queensland,Charles Darwin University
2020,19814,Domestic,Queensland,Griffith University
2020,8402,International,Queensland,Griffith University
2020,41417,Domestic,Queensland,James Cook University
2020,5960,International,Queensland,James Cook University
2020,13836,Domestic,Queensland,Non-University Higher Education Providers
2020,1478,International,Queensland,Non-University Higher Education Providers
2020,7121,Domestic,Queensland,Queensland University of Technology
2020,8436,International,Queensland,Queensland University of Technology
2020,44281,Domestic,Queensland,The University of Queensland
2020,20431,International,Queensland,The University of Queensland
2020,34558,Domestic,Queensland,University of Southern Queensland
2020,2476,International,Queensland,University of Southern Queensland
2020,23092,Domestic,Queensland,University of the Sunshine Coast
2020,2505,International,Queensland,University of the Sunshine Coast
2020,87699,Domestic,South Australia,Carnegie Mellon University Australia
2020,84,International,South Australia,Carnegie Mellon University Australia
2020,11,Domestic,South Australia,Flinders University
2020,5025,International,South Australia,Flinders University
2020,20919,Domestic,South Australia,Private Universities and Non-University Higher Education Providers
2020,3352,International,South Australia,Private Universities and Non-University Higher Education Providers
2020,4834,Domestic,South Australia,The University of Adelaide
2020,9229,International,South Australia,The University of Adelaide
2020,20224,Domestic,South Australia,Torrens University Australia
2020,12549,International,South Australia,Torrens University Australia
2020,10720,Domestic,South Australia,University of South Australia
2020,6876,International,South Australia,University of South Australia
2020,15660,Domestic,South Australia,University of the Sunshine Coast
2020,37115,International,South Australia,University of the Sunshine Coast
2020,30991,Domestic,Tasmania,University of South Australia
2020,7864,International,Tasmania,University of South Australia
